gate,pin1,pin2,pin3,pin4,pin5,pin6,pin7,pin8,pin9,pin10,pin11,pin12,pin13,pin14
INTERNAL_3,,,,,,,,,,,,,,
INTERNAL_7,,,,,,,,,,,,,,
puzzle,,,,,,,,,,,,,,
sky130_fd_sc_hd__o31ai_2,VGND,A1,A2,A3,Y,B1,VPWR,VPB,sky130_gnd,,,,,
sky130_fd_sc_hd__a21bo_2,VPB,VPWR,VGND,X,B1_N,A1,A2,sky130_gnd,,,,,,
sky130_fd_sc_hd__o211ai_2,VGND,Y,A1,C1,B1,A2,VPWR,VPB,sky130_gnd,,,,,
sky130_fd_sc_hd__o21bai_2,VGND,B1_N,Y,A2,A1,VPWR,VPB,sky130_gnd,,,,,,
sky130_fd_sc_hd__a311o_2,VGND,X,A3,A2,A1,B1,C1,VPWR,VPB,sky130_gnd,,,,
sky130_fd_sc_hd__o32ai_2,VGND,A3,Y,B2,B1,A2,A1,VPWR,VPB,sky130_gnd,,,,
sky130_fd_sc_hd__a31oi_2,VGND,Y,A3,A2,A1,B1,VPWR,VPB,sky130_gnd,,,,,
sky130_fd_sc_hd__o22ai_2,VGND,Y,B1,B2,A2,A1,VPWR,VPB,sky130_gnd,,,,,
sky130_fd_sc_hd__o2bb2a_2,VGND,X,A2_N,A1_N,B2,B1,VPWR,VPB,sky130_gnd,,,,,
sky130_fd_sc_hd__nand3b_2,VGND,A_N,C,B,Y,VPWR,VPB,sky130_gnd,,,,,,
sky130_fd_sc_hd__o311a_2,VGND,X,A1,A2,A3,B1,C1,VPWR,VPB,sky130_gnd,,,,
sky130_fd_sc_hd__nor4b_2,VGND,Y,A,B,C,D_N,VPWR,VPB,sky130_gnd,,,,,
sky130_fd_sc_hd__buf_2,VPB,VGND,X,VPWR,A,sky130_gnd,,,,,,,,
sky130_fd_sc_hd__or4bb_2,VGND,X,C_N,D_N,A,VPWR,B,VPB,sky130_gnd,,,,,
sky130_fd_sc_hd__and4_2,VPB,B,VPWR,C,D,VGND,X,A,sky130_gnd,,,,,
sky130_fd_sc_hd__a41oi_2,VGND,Y,A4,B1,A1,A2,A3,VPWR,VPB,sky130_gnd,,,,
sky130_fd_sc_hd__a221oi_2,VGND,C1,Y,B2,B1,A2,A1,VPWR,VPB,sky130_gnd,,,,
sky130_fd_sc_hd__mux2_1,VGND,X,A1,A0,S,VPWR,VPB,sky130_gnd,,,,,,
sky130_fd_sc_hd__conb_1,VPB,HI|VPWR,LO|VGND,,,,,,,,,,,
sky130_fd_sc_hd__or3b_2,VPB,X,B,A,VGND,VPWR,C_N,sky130_gnd,,,,,,
sky130_fd_sc_hd__o32a_2,VGND,X,A1,A2,A3,B2,B1,VPWR,VPB,sky130_gnd,,,,
sky130_fd_sc_hd__and3b_2,VPB,VPWR,B,VGND,C,A_N,X,sky130_gnd,,,,,,
VIA_M1M2_PR_MR,\$1,,,,,,,,,,,,,
sky130_fd_sc_hd__o22a_2,VPB,VGND,VPWR,X,B1,B2,A2,A1,sky130_gnd,,,,,
sky130_fd_sc_hd__a22oi_2,VGND,B2,B1,Y,A1,A2,VPWR,VPB,sky130_gnd,,,,,
sky130_fd_sc_hd__a221o_2,VGND,C1,B2,B1,A1,A2,X,VPWR,VPB,sky130_gnd,,,,
sky130_fd_sc_hd__dfstp_2,VGND,SET_B,Q,CLK,D,VPWR,VPB,sky130_gnd,,,,,,
sky130_fd_sc_hd__a2111oi_2,VGND,Y,C1,D1,B1,A1,A2,VPWR,VPB,sky130_gnd,,,,
sky130_fd_sc_hd__o221a_2,VGND,X,C1,B1,B2,A2,A1,VPWR,VPB,sky130_gnd,,,,
sky130_fd_sc_hd__o21ai_2,VPB,VPWR,A1,VGND,A2,Y,B1,sky130_gnd,,,,,,
sky130_fd_sc_hd__nor4_2,VGND,Y,A,B,C,D,VPWR,VPB,sky130_gnd,,,,,
sky130_fd_sc_hd__clkbuf_16,VGND,A,X,VPWR,VPB,sky130_gnd,,,,,,,,
sky130_fd_sc_hd__and2b_2,VPB,A_N,VPWR,B,VGND,X,sky130_gnd,,,,,,,
sky130_fd_sc_hd__and4bb_2,VGND,X,C,D,B_N,A_N,VPWR,VPB,sky130_gnd,,,,,
sky130_fd_sc_hd__nor3_2,VPB,C,Y,VGND,A,VPWR,B,sky130_gnd,,,,,,
sky130_fd_sc_hd__nor3b_2,VGND,Y,A,B,C_N,VPWR,VPB,sky130_gnd,,,,,,
VIA_M3M4_PR,\$1,,,,,,,,,,,,,
sky130_fd_sc_hd__o211a_2,VPB,C1,VPWR,B1,VGND,A2,A1,X,sky130_gnd,,,,,
sky130_fd_sc_hd__or3_2,VPB,C,VPWR,VGND,X,A,B,sky130_gnd,,,,,,
sky130_fd_sc_hd__or4b_2,VPB,\$2,VGND,C,B,A,VPWR,X,\$9,D_N,\$12,\$13,\$14,sky130_gnd
sky130_fd_sc_hd__nor2_2,VPB,VGND,A,VPWR,Y,B,sky130_gnd,,,,,,,
sky130_fd_sc_hd__nand3_2,VGND,Y,A,B,C,VPWR,VPB,sky130_gnd,,,,,,
sky130_fd_sc_hd__and4b_2,VGND,B,C,X,A_N,D,VPWR,VPB,sky130_gnd,,,,,
sky130_fd_sc_hd__nand2b_2,VPB,B,VPWR,VGND,Y,A_N,sky130_gnd,,,,,,,
sky130_fd_sc_hd__o21ba_2,VPB,VPWR,B1_N,VGND,X,A2,A1,sky130_gnd,,,,,,
sky130_fd_sc_hd__diode_2,VPB,DIODE,VPWR,VGND,,,,,,,,,,
sky130_fd_sc_hd__nand4_2,VGND,D,C,B,A,VPWR,Y,VPB,sky130_gnd,,,,,
sky130_fd_sc_hd__dfxtp_2,VGND,Q,CLK,D,VPWR,VPB,sky130_gnd,,,,,,,
sky130_fd_sc_hd__a32o_2,VGND,X,B2,A1,A2,B1,A3,VPWR,VPB,sky130_gnd,,,,
sky130_fd_sc_hd__dfrtp_2,VGND,RESET_B,Q,CLK,D,VPWR,VPB,sky130_gnd,,,,,,
sky130_fd_sc_hd__and3_2,VPB,A,B,C,VGND,VPWR,X,sky130_gnd,,,,,,
sky130_fd_sc_hd__o31a_2,VGND,X,A1,A2,A3,B1,VPWR,VPB,sky130_gnd,,,,,
VIA_M2M3_PR,\$1,,,,,,,,,,,,,
sky130_fd_sc_hd__xnor2_2,VGND,Y,B,A,VPWR,VPB,sky130_gnd,,,,,,,
sky130_fd_sc_hd__inv_2,VPB,VGND,VPWR,Y,A,sky130_gnd,,,,,,,,
sky130_fd_sc_hd__a21boi_2,VGND,B1_N,Y,A2,A1,VPWR,VPB,sky130_gnd,,,,,,
sky130_fd_sc_hd__and2_2,VPB,VPWR,A,B,X,VGND,sky130_gnd,,,,,,,
sky130_fd_sc_hd__a22o_2,VGND,B2,B1,A1,A2,X,VPWR,VPB,sky130_gnd,,,,,
sky130_fd_sc_hd__nand2_2,VPB,VPWR,Y,B,VGND,A,sky130_gnd,,,,,,,
sky130_fd_sc_hd__a21oi_2,VPB,VPWR,A1,Y,A2,VGND,B1,sky130_gnd,,,,,,
sky130_fd_sc_hd__xor2_2,VGND,A,B,X,VPWR,VPB,sky130_gnd,,,,,,,
sky130_fd_sc_hd__a21o_2,VPB,VPWR,VGND,X,B1,A1,A2,sky130_gnd,,,,,,
sky130_fd_sc_hd__or4_2,VPB,VGND,C,B,A,VPWR,X,D,sky130_gnd,,,,,
sky130_fd_sc_hd__or2_2,VPB,X,VPWR,VGND,B,A,sky130_gnd,,,,,,,
VIA_via3_4_2000_480_1_5_400_400,\$1,,,,,,,,,,,,,
VIA_via4_5_2000_480_1_5_400_400,\$1,,,,,,,,,,,,,
VIA_via2_3_2000_480_1_6_320_320,\$1,,,,,,,,,,,,,
VIA_L1M1_PR_MR,\$1,,,,,,,,,,,,,
sky130_fd_sc_hd__o21a_2,VPB,VGND,VPWR,X,B1,A2,A1,sky130_gnd,,,,,,
sky130_fd_sc_hd__a31o_2,VPB,X,VPWR,A3,A2,A1,VGND,B1,sky130_gnd,,,,,
